labels,Area,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
000iu,122.7626,41.1188,0.8466339744167029,14.1852,12.1525,1.3663859773816296,0.7530127537651506,0.9352927305718672,no,5,13.2978,0.3810402999583692
000ix,122.7626,101.52716977922586,0.9006187804277698,32.26932794341943,30.219156015376193,1.2776795057841073,0.8431240233557155,0.9748964320818562,no,5,31.236372110455573,0.3810402999583692
000j1,9070.04633476151,424.6160784478326,0.5632691095545672,139.1252601445763,95.75820610209472,1.626249589508917,0.6182927402095544,0.9034698147790156,no,3,117.4234040494379,277.62784665339797
000ji,6586.914719392081,270.7509610406592,0.7649050060919611,89.72739414367345,73.63515608684475,1.465514964515313,0.7462928210675641,0.9479812333513813,no,3,81.66836953743079,215.92359077381795
000ju,6796.984868047772,284.7451607622732,0.7882778348395967,85.62293252109332,72.65707026451837,1.0012,0.9558469169808407,0.9313863723833524,si,3,79.11573919371881,205.48718091766278
000jv,122.7626,123.72213437552716,0.7036234942504469,42.069491177459376,22.04486367474808,1.4772417483865874,0.7197262336915227,0.9218456100507659,si,3,32.0657101630035,0.3810402999583692
000k0,2367.7926336832943,188.63898082773588,0.7833356665399444,63.546674413674026,41.615470603518034,1.1693583307319573,0.907447499966339,0.9359803003399069,no,5,52.59999500189973,76.67754079874159
000kc,5533.354384928502,264.3774500335718,0.6918851943370504,83.29872695221218,59.88237717705422,1.5872874270001283,0.6996593014485311,0.9074619811054547,no,5,71.57756270670518,179.9173898791981
000kf,8834.13956457163,372.98058400703275,0.7749374136054303,117.58325580552531,100.4458168127733,1.0012,0.936843559712335,0.9665139959188045,si,3,109.04195730595157,229.6896885572952
000kh,122.7626,71.68643962506538,0.9162432769949669,29.18080105539248,20.607771601308627,1.2302818090005336,0.81785409725083,0.9818764767131021,no,5,24.866840633146754,0.3810402999583692
000kn,6124.622648328759,241.39429270723124,0.9128615343829051,73.19319417291926,76.13893160437426,1.0012,0.9988,0.9851,si,5,74.65400935223374,130.25853196684176
000kr,7625.583050458356,319.2714894881749,0.8807795756578779,109.0038714533609,80.33431731619348,1.2826177989182472,0.7715539957031556,0.9801217581985973,no,5,94.69062578196807,233.6531445010663
000ku,122.7626,66.93602940263405,0.9206725483925526,21.175144626168077,23.900704027987192,1.0392987035910488,0.9111212545801366,0.9803874715496296,no,5,22.554852572970937,0.3810402999583692
000kv,122.7626,48.60768489937465,0.8412058416941762,21.40569100571424,13.883015027253606,1.3120923739077968,0.7841105613265561,0.9470842522051933,no,5,17.65126013709412,0.3810402999583692
000ky,133.674611206563,91.29267284582369,0.7636709170727748,35.415240104297936,13.355371310412593,1.5150319496085052,0.6928419203006254,0.927141874895725,no,3,24.384795931351157,27.90122222260296
000l0,5184.4854224200435,205.66894944130172,0.7487394956613309,72.99359588820263,47.588724021531505,1.47118352086834,0.6851542980367483,0.9043035237070278,no,5,60.31033282070146,205.39233451921362
000ld,5939.08610071884,308.1570769220832,0.856715097831138,98.15748442222159,84.07230394059283,1.0535683252577885,0.9552632242042841,0.9851,si,5,91.12876763427195,135.4351383044232
000lh,8951.864808412724,310.9225380306658,0.8363884389901697,95.31324371565586,87.10273584544461,1.0012,0.9605193309918543,0.973229177505389,si,5,91.20421531685254,294.3372234776948
000lj,10856.017621853487,449.85062780042455,0.7221755500751954,141.45627007138907,121.19685045553582,1.1252842097781013,0.9048742099550771,0.9528795572285893,si,3,131.3064669439956,300.7299788002241
000lm,122.7626,41.1188,0.7988376969051836,14.1852,12.1525,1.3883390288621729,0.7506253134610635,0.9297758214606262,no,3,13.2978,0.3810402999583692
000lo,122.7626,41.1188,0.8474821904169103,14.1852,12.1525,1.2773946401160075,0.8409487711345565,0.9438024238123722,no,3,13.2978,0.3810402999583692
000lu,8063.661187596576,285.2912451097033,0.8582306071385427,84.03632077184416,79.96670382109785,1.0012,0.9840201251085057,0.972789628914205,no,3,81.99737130999989,244.7121424668976
000ly,8744.152745670006,332.83777668385807,0.7532252950628312,111.43093195617243,87.00846839867455,1.5051260612355692,0.7102431018941848,0.9386633105899866,no,5,99.24068775300641,257.1273996877784
000mg,122.7626,41.1188,0.8276327853876797,14.1852,12.1525,1.1700261045934623,0.8942091779230309,0.9261865369336004,no,3,13.2978,0.3810402999583692
000mi,1394.5508364726072,163.1322676674451,0.8932104840161645,52.00050457310484,46.79434627771614,1.173639926144199,0.8831573300841269,0.9800318128394525,si,5,49.38120232576571,0.3810402999583692
000mm,5202.121867459462,216.89804733413152,0.8518346073206541,69.75493492532533,59.89324781564609,1.3169620517228557,0.8541897567987176,0.9567744463241153,no,5,64.83524478551655,160.1048552656047
000mo,122.7626,74.32678396498225,0.7784303033641278,30.831732927475777,14.512760389543459,1.3680198271538917,0.7748890310647221,0.9295896135780292,no,5,22.659646761458916,0.3810402999583692
000ms,122.7626,104.04740617050675,0.8779931660176602,33.79968317347794,29.550679841795276,1.1834919411279479,0.8924562291817524,0.9447163189530939,si,5,31.67386859263471,0.3810402999583692
000mu,7788.575566049068,334.8156517065639,0.7102758769477905,105.38023880805275,81.90256687033703,1.4331563964063971,0.7958557543618818,0.9329553956008267,si,5,93.63536708190102,235.55996781213005
000my,1689.2310826530445,138.07269069114915,0.8210550177196122,40.943362750982004,35.15227265746058,1.1904685104446537,0.8906490094984686,0.9355847456401318,no,5,38.03062579492568,22.080237915711237
000n0,122.7626,41.1188,0.944,14.1852,12.361855198049895,1.0296172361535696,0.9263412785138364,0.9851,no,3,13.2978,0.3810402999583692
