labels,Area,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Esferoide,dia,Diameter,n_diam
000fh,1940.893421359064,161.8442,-0.6270867885560784,53.71487053179168,62.5798,1.0268144392257361,0.9737720237039561,0.9833,si,5,46.07793861956326,12.629333702570264
000gl,17291.426981189932,524.0741,-0.6270867885560784,163.10780512372781,155.1193,1.0537597671817274,0.9492365195816281,0.9835,si,5,149.26227584477238,635.0941685981512
000gq,1191.282904611238,155.5651,-0.6270867885560784,47.76818308175515,41.5086,1.071747684619008,0.9331016844234308,0.9508,si,5,40.80836084964828,8.924817831150234
000gx,3586.495059500848,269.9627,-0.6270867885560784,119.7745150849826,73.2305,1.1348702612237744,0.881704392387583,0.9813,si,5,60.9979451612402,34.826990326025815
000hl,11298.641901417417,402.5262,-0.6270867885560784,135.0644439055649,120.0183,1.1857622861276627,0.8432699930700643,0.9812,si,5,106.1085305710786,294.3981353013503
000hw,2985.581097900942,219.2839,-0.6270867885560784,59.78039610931462,103.0,1.0187073630233179,0.9815541455017072,0.9801,si,5,59.70991657527227,37.81692211159328
000hy,6602.672285981038,375.6668,-0.6270867885560784,100.53550428785286,106.8195,1.1346386187242257,0.8820101121812138,0.9345,si,5,81.50657383711656,147.84312203678638
000ib,5467.227680941513,297.8151,-0.6270867885560784,105.58585536344782,96.2408,1.0382046579874633,0.9632703456810695,0.9706,si,5,75.14337540047629,94.1472471218666
000j1,17973.338703673577,556.0692,-0.6270867885560784,169.8081581815651,156.271,1.0089649913324088,0.9911900271851067,0.9756,si,5,158.84918947736736,687.7600458752688
000jv,1878.196255310081,205.8037,-0.6270867885560784,75.15679807290465,62.5658,1.0410706496751128,0.9605934629201955,0.9731,si,5,51.13648827258903,12.883333240462367
000kf,17732.352516163883,552.955,-0.6270867885560784,174.84797864053536,142.7979,1.1297215861017464,0.8851965267767751,0.9545,si,5,152.8580522300528,668.8236644675313
000kx,1933.543574213883,174.4331,-0.6270867885560784,81.38335317349899,46.1289,1.3714623913710666,0.7295466949015534,0.9755,si,5,46.05946983822979,12.698802741547038
000lf,12730.60523899909,501.0732,-0.6270867885560784,158.06497874426398,117.8819,1.1981270342543757,0.8346811906308089,0.9461,si,5,128.59995594905297,432.07507186702014
000lj,20214.083007398873,597.3504,-0.6270867885560784,188.05870601608268,160.0058,1.093779632284545,0.914351049851343,0.9599,si,5,167.5159357602629,827.2632782071247
000lo,1594.677759893894,174.8136,-0.6270867885560784,47.28169097985541,47.6059,1.103810837649646,0.9058402816127122,0.9706,si,5,45.82634158913353,13.134255751069597
000mb,1671.924955721169,192.9766,-0.6270867885560784,54.87572726499084,59.2891,1.1087862750268376,0.9020989837360782,0.9779,si,5,45.8652067346719,12.347481815694
000mf,5260.138393620733,266.77,-0.6270867885560784,63.16768675470074,87.978,1.0911299697882368,0.9165624100845751,0.9826,si,5,67.79464341561953,84.00749407209697
000mw,17762.884681348183,546.745,-0.6270867885560784,152.364222180973,157.009,1.0205297546399776,0.9797459073366039,0.9778,si,5,152.0802221373391,681.9877044252356
000ni,3516.332417745412,243.4457,-0.6270867885560784,72.24322161849115,90.3787,1.1223093603420413,0.8914745534088764,0.9665,si,5,60.52753187262097,39.07116311488291
000no,6496.237315543026,371.0764,-0.6270867885560784,128.52001698073073,107.593,1.1274908557046899,0.8875281026272464,0.9372,si,5,79.69285866065013,128.99688224634684
